text_id,physical_position,slot,story_page,panel_id,kind,text,source_ref,native_story_id
S010-P05-PLACEHOLDER,14,I012,S010,S010-P05,placeholder,"S010-P05  ·  BILD FEHLT

Eine alte Produktionslinie wird wieder funktionsfähig gemacht. Das Bild zeigt eine exemplarische Reparaturgeschichte, keinen benannten historischen Neubeginn.",P041 Sätze 2-3.,3940
S010-P05-TEXT,14,I012,S010,S010-P05,caption,"Wenn niemand mehr weiß, wie ein bestimmtes Bauteil hergestellt wird, wird eine ältere Fabrik rekonstruiert, die dieses Bauteil herstellen kann. Auf diese Weise arbeitet die Erde weiter, obwohl sie offiziell unbewohnt ist.",P041 Sätze 2-3.,3917
S011-P01-PLACEHOLDER,15,I013,S011,S011-P01,placeholder,"S011-P01  ·  BILD FEHLT

Dichte Satelliten-, Relais- und Archivschichten umgeben die Erde; unterschiedliche Baualter sind erkennbar. Keine exakte Objektzahl zeichnen.",P042.,4034
S011-P01-TEXT,15,I013,S011,S011-P01,caption,"Um den Planeten kreisen unzählige Satelliten, Relaisstationen und Archivmodule. Einige sind zehntausende Jahre alt. Andere werden von den Robotern auf der Erde fortlaufend ersetzt.",P042.,4011
S011-P02-PLACEHOLDER,15,I013,S011,S011-P02,placeholder,"S011-P02  ·  BILD FEHLT

Ein ausdrücklich historischer Quellenrahmen verbindet frühe Satelliten und den Namen Elon Musk. Es ist eine Behauptung der fiktiven Mars-Historiker, keine dokumentarische Aussage über unsere Gegenwart.",P043 Sätze 1.,4082
S011-P02-TEXT,15,I013,S011,S011-P02,caption,Nach allgemein anerkannter Lehrmeinung wurden die ersten Milliarden Satelliten im 21. Jahrhundert von Elon Musk ins All befördert.,P043 Sätze 1.,4059
S011-P03-PLACEHOLDER,15,I013,S011,S011-P03,placeholder,"S011-P03  ·  BILD FEHLT

Vier neutrale Archivsymbole stellen Person, Unternehmen, Programm und Satellitengattung als konkurrierende Interpretationen dar. Keines wird aufgelöst.",P043 Sätze 2.,4130
S011-P03-TEXT,15,I013,S011,S011-P03,caption,"Ob Elon Musk ein einzelner Mensch, ein Unternehmen, ein Raumfahrtprogramm oder die Bezeichnung für eine frühe Satellitengattung war, ist umstritten.",P043 Sätze 2.,4107
S011-P04-PLACEHOLDER,15,I013,S011,S011-P04,placeholder,"S011-P04  ·  BILD FEHLT

Der überlieferte Ausdruck „reichster Mann der Welt“ wird in einem Quellenvergleich religiös gedeutet. Nur ein abstrakter Interpretationsmarker, keine erfundene Kultszene.",P043 Sätze 3-4.,4178
S011-P04-TEXT,15,I013,S011,S011-P04,caption,"In einer häufig zitierten Quelle wird er außerdem als „reichster Mann der Welt"" bezeichnet. Dies wird von vielen Historikern als Hinweis auf eine religiöse Funktion interpretiert.",P043 Sätze 3-4.,4155
S011-P05-PLACEHOLDER,15,I013,S011,S011-P05,placeholder,"S011-P05  ·  BILD FEHLT

Die Satellitenhülle verschattet Teile der Erde. Eine redaktionelle Verbindungslinie zum fernen Mars verdeutlicht den Informationsfluss.",P044.,4226
S011-P05-TEXT,15,I013,S011,S011-P05,caption,"Die dichte Hülle aus Satelliten verdunkelt Teile der Erde. Sie empfängt, speichert und übermittelt Informationen an den Mars. Die Erde ist zu einem Archiv geworden: ein planetengroßer Datenträger mit einer Sicherungskopie im All.",P044.,4203
I014-OPEN,16,I014,,,placeholder,"I014 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen.",Native layout r005; editorial/placeholder working text,4319
I014-OPTION,16,I014,,,placeholder,Position im Lesefluss bei der Gesamtsichtung prüfen.,Native layout r005; editorial/placeholder working text,4342
I014-TITLE,16,I014,,,editorial,INNENANZEIGE,Native layout r005; editorial/placeholder working text,4296
S012-P01-PLACEHOLDER,17,I015,S012,S012-P01,placeholder,"S012-P01  ·  BILD FEHLT

An Modulias bestehender Arbeitsanzeige erscheint eine neue Nachricht. Sie richtet ihre Aufmerksamkeit darauf.",P045.,4436
S012-P01-TEXT,17,I015,S012,S012-P01,caption,Dann erhält Modulia eines Tages eine Nachricht.,P045.,4413
S012-P02-PLACEHOLDER,17,I015,S012,S012-P02,placeholder,"S012-P02  ·  BILD FEHLT

Die eingehende Nachricht ist einer befreundeten Forschungs-KI auf der Erde zugeordnet; die Darstellung markiert das veraltete Protokoll, ohne ein konkretes Alter oder Protokollkürzel zu erfinden.",P046.,4484
S012-P02-TEXT,17,I015,S012,S012-P02,caption,"Sie stammt von einer befreundeten Forschungs-KI auf der Erde und wurde über ein Kommunikationsprotokoll verschickt, das seit mehreren Jahrtausenden nicht mehr verwendet werden dürfte.",P046.,4461
S012-P03-PLACEHOLDER,17,I015,S012,S012-P03,placeholder,"S012-P03  ·  BILD FEHLT

Modulia bleibt bei der Nachricht. Ihre bekannte Tätigkeit als Quellenprüferin wird durch sorgfältiges Betrachten ausgedrückt; keine neue Prüfungshandlung mit zusätzlichem Ergebnis.",Stummer Inszenierungsentwurf innerhalb der bestehenden Szene; PROPOSAL.,4509
S012-P04-PLACEHOLDER,17,I015,S012,S012-P04,placeholder,"S012-P04  ·  BILD FEHLT

Modulia hält vor dem nun folgenden Bericht inne. Der Ursprung der Nachricht verändert sich nicht; sie wird nicht zur eigenen Expedition.",Stummer Inszenierungsentwurf innerhalb der bestehenden Szene; PROPOSAL.,4534
S013-P01-TEXT,18,I016,S013,S013-P01,caption,Bei Bohrungen im ewigen Eis sei eine unterirdische Anlage entdeckt worden.,P047 Sätze 1.,4613
S013-P02-TEXT,18,I016,S013,S013-P02,caption,Ein Labor.,P047 Sätze 2.,4646
S013-P03-TEXT,18,I016,S013,S013-P03,caption,Die Energieversorgung funktioniere noch.,P047 Sätze 3.,4679
S013-P04-TEXT,18,I016,S013,S013-P04,caption,"Alte Roboter hätten offenbar über Jahrtausende hinweg die Temperatur, die Luftfilter und mehrere biologische Lebenserhaltungssysteme gewartet.",P047 Sätze 4.,4712
S014-P01-TEXT,19,I017,S014,S014-P01,caption,Im Inneren befänden sich fünf Kryokammern. In jeder Kammer liege ein Mensch.,P048; P049.,4800
S014-P02-TEXT,19,I017,S014,S014-P02,caption,Fünf Exemplare. Vollständig erhalten.,P050.,4834
S014-P03-TEXT,19,I017,S014,S014-P03,caption,"Nach ersten Untersuchungen seien die Kammern allerdings wesentlich jünger als das Labor, in dem sie stehen.",P051.,4867
S015-P01-PLACEHOLDER,20,I018,S015,S015-P01,placeholder,"S015-P01  ·  BILD FEHLT

Zurück an Modulias Konsole ist der noch nicht offiziell gemeldete Fund Thema der eingegangenen Nachricht. Kein Weiterleiten oder Verwaltungsempfänger im Bild.",P052.,4961
S015-P01-TEXT,20,I018,S015,S015-P01,caption,Die Forschungs-KI habe den Fund noch nicht an die Zentrale Verwaltung gemeldet.,P052.,4938
S015-P02-PLACEHOLDER,20,I018,S015,S015-P02,placeholder,"S015-P02  ·  BILD FEHLT

Modulia betrachtet die Bitte um ihre Einschätzung. Es wird noch keine Antworthandlung gezeigt.",P053.,5009
S015-P02-TEXT,20,I018,S015,S015-P02,caption,"Bevor sie dies tue, wolle sie Modulias Einschätzung hören.",P053.,4986
S015-P03-PLACEHOLDER,20,I018,S015,S015-P03,placeholder,"S015-P03  ·  BILD FEHLT

Die Anhänge sind gruppiert: genau fünf biologische Datensätze, mehrere beschädigte Videodateien und ein kurzes Textdokument. Namen, Videoinhalte und Anzahl der Videos bleiben unbestimmt.",P054 Sätze 1.,5057
S015-P03-TEXT,20,I018,S015,S015-P03,caption,"Der Nachricht waren fünf biologische Datensätze, mehrere beschädigte Videoaufzeichnungen und ein kurzes Textdokument beigefügt.",P054 Sätze 1.,5034
S015-P04-PLACEHOLDER,20,I018,S015,S015-P04,placeholder,"S015-P04  ·  BILD FEHLT

Das Textdokument erhält den Fokus. Der Ausschnitt zeigt zunächst nur seine Begrenzung; der Satz steht erst auf S016. Kein zusätzliches Wort als Dokumentinhalt.",P054 Sätze 2.,5105
S015-P04-TEXT,20,I018,S015,S015-P04,caption,Das Dokument bestand nur aus einem einzigen Satz:,P054 Sätze 2.,5082
S016-P01-PLACEHOLDER,21,I019,S016,S016-P01,placeholder,"S016-P01  ·  BILD FEHLT

Die Anzeige mit dem kurzen Textdokument dominiert die Seite; am unteren Rand bleibt höchstens Modulias dunkle Silhouette. Keine alte Aufnahme, keine Erinnerung und kein Antworttext ergänzen.",P055.,5199
S016-P01-TEXT,21,I019,S016,S016-P01,document,"„Wenn ihr das hier findet, habt ihr uns wieder vergessen.""",P055.,5176
I020-DRAFT,22,I020,,,editorial,"In Human Park verschwinden Informationen, Quellen widersprechen sich, und manche Gewissheit hat keinen Beleg. Was davon hat mit heutiger KI-Forschung zu tun? Unser Wissensbereich zu diesem Heft erklärt die Begriffe, zeigt die Grenzen der Comicdarstellung und führt zu weiterführenden Quellen. Dort findest du auch den Stand der jeweiligen Erklärung und spätere Aktualisierungen.",Native layout r005; editorial/placeholder working text,5338
I020-IMPRINT-OPEN,22,I020,,,placeholder,"ANGABEN NOCH OFFEN
Verlag, Verantwortliche, Kreativteam und Ausgabedaten hier nach Bestätigung eintragen. Redaktioneller Platzhalter.",Native layout r005; editorial/placeholder working text,5800
I020-IMPRINT-TITLE,22,I020,,,editorial,IMPRESSUM UND CREDITS,Native layout r005; editorial/placeholder working text,5777
I020-OPEN,22,I020,,,placeholder,"NOCH OFFEN
Fachbeitrag und Begriffseinstiege zu LLM, Modellkollaps und Machine Unlearning.
Geprüfte Heft-URL und QR-Code fehlen.
Kein aktiver Link im Rohsatz.",Native layout r005; editorial/placeholder working text,5361
I020-STATUS,22,I020,,,placeholder,REDAKTIONELLER ENTWURF · Angebot noch nicht bereitgestellt,Native layout r005; editorial/placeholder working text,5315
I020-THEME,22,I020,,,editorial,Können KI-Systeme vergessen?,Native layout r005; editorial/placeholder working text,5292
I020-TITLE,22,I020,,,editorial,"Wissen hinter
Human Park",Native layout r005; editorial/placeholder working text,5269
C3-OPEN,23,C3,,,placeholder,"C3 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen.",Native layout r005; editorial/placeholder working text,5454
C3-OPTION,23,C3,,,placeholder,Alternative: Eigenwerbung oder redaktionelle Vorschau.,Native layout r005; editorial/placeholder working text,5477
C3-TITLE,23,C3,,,editorial,ANZEIGENOPTION,Native layout r005; editorial/placeholder working text,5431
C4-OPEN,24,C4,,,placeholder,"C4 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen.",Native layout r005; editorial/placeholder working text,5570
C4-OPTION,24,C4,,,placeholder,Rückseite: Fremdwerbung als bisherige Planungsoption.,Native layout r005; editorial/placeholder working text,5593
C4-TITLE,24,C4,,,editorial,ANZEIGENOPTION,Native layout r005; editorial/placeholder working text,5547
