text_id,physical_position,page_label,native_story_id,text
"S012-P01-PLACEHOLDER",17,"I015 / S012","4436","S012-P01  ·  BILD FEHLT

An Modulias bestehender Arbeitsanzeige erscheint eine neue Nachricht. Sie richtet ihre Aufmerksamkeit darauf."
"S013-P04-TEXT",18,"I016 / S013","4712","Alte B-Einheiten haben offenbar über Jahrhunderte Temperatur, Luftfilter und mehrere biologische Lebenserhaltungssysteme gewartet."
"S013-P03-TEXT",18,"I016 / S013","4679","Die Energieversorgung funktioniert noch."
"S013-P02-TEXT",18,"I016 / S013","4646","Ein Labor."
"S013-P01-TEXT",18,"I016 / S013","4613","Bei Bohrungen im ewigen Eis ist eine unterirdische Anlage entdeckt worden."
"S014-P03-TEXT",19,"I017 / S014","4867","Nach ersten Untersuchungen seien die Kammern allerdings wesentlich jünger als das Labor, in dem sie stehen."
"S014-P02-TEXT",19,"I017 / S014","4834","Fünf Exemplare. Vollständig erhalten."
"S014-P01-TEXT",19,"I017 / S014","4800","Im Inneren befänden sich fünf Kryokammern. In jeder Kammer liege ein Mensch."
"S015-P04-TEXT",20,"I018 / S015","5082","Das Dokument bestand nur aus einem einzigen Satz:"
"S015-P03-TEXT",20,"I018 / S015","5034","Der Nachricht waren fünf biologische Datensätze, mehrere beschädigte Videoaufzeichnungen und ein kurzes Textdokument beigefügt."
"S015-P02-TEXT",20,"I018 / S015","4986","Bevor sie dies tue, wolle sie Modulias Einschätzung hören."
"S015-P01-TEXT",20,"I018 / S015","4938","Die Forschungs-KI habe den Fund noch nicht an die Zentrale Verwaltung gemeldet."
"S015-P04-PLACEHOLDER",20,"I018 / S015","5105","S015-P04  ·  BILD FEHLT

Das Textdokument erhält den Fokus. Der Ausschnitt zeigt zunächst nur seine Begrenzung; der Satz steht erst auf S016. Kein zusätzliches Wort als Dokumentinhalt."
"S015-P03-PLACEHOLDER",20,"I018 / S015","5057","S015-P03  ·  BILD FEHLT

Die Anhänge sind gruppiert: genau fünf biologische Datensätze, mehrere beschädigte Videodateien und ein kurzes Textdokument. Namen, Videoinhalte und Anzahl der Videos bleiben unbestimmt."
"S015-P02-PLACEHOLDER",20,"I018 / S015","5009","S015-P02  ·  BILD FEHLT

Modulia betrachtet die Bitte um ihre Einschätzung. Es wird noch keine Antworthandlung gezeigt."
"S015-P01-PLACEHOLDER",20,"I018 / S015","4961","S015-P01  ·  BILD FEHLT

Zurück an Modulias Konsole ist der noch nicht offiziell gemeldete Fund Thema der eingegangenen Nachricht. Kein Weiterleiten oder Verwaltungsempfänger im Bild."
"S016-P01-TEXT",21,"I019 / S016","5176","„Wenn ihr das hier findet, habt ihr uns wieder vergessen."""
"S016-P01-PLACEHOLDER",21,"I019 / S016","5199","S016-P01  ·  BILD FEHLT

Die Anzeige mit dem kurzen Textdokument dominiert die Seite; am unteren Rand bleibt höchstens Modulias dunkle Silhouette. Keine alte Aufnahme, keine Erinnerung und kein Antworttext ergänzen."
"I020-IMPRINT-TITLE",22,"I020","5777","IMPRESSUM UND CREDITS"
"I020-DRAFT",22,"I020","5338","In Human Park verschwinden Informationen, Quellen widersprechen sich, und manche Gewissheit hat keinen Beleg. Was davon hat mit heutiger KI-Forschung zu tun? Unser Wissensbereich zu diesem Heft erklärt die Begriffe, zeigt die Grenzen der Comicdarstellung und führt zu weiterführenden Quellen. Dort findest du auch den Stand der jeweiligen Erklärung und spätere Aktualisierungen."
"I020-THEME",22,"I020","5292","Können KI-Systeme vergessen?"
"I020-TITLE",22,"I020","5269","Wissen hinter
Human Park"
"I020-IMPRINT-OPEN",22,"I020","5800","ANGABEN NOCH OFFEN
Verlag, Verantwortliche, Kreativteam und Ausgabedaten hier nach Bestätigung eintragen. Redaktioneller Platzhalter."
"I020-OPEN",22,"I020","5361","NOCH OFFEN
Fachbeitrag und Begriffseinstiege zu LLM, Modellkollaps und Machine Unlearning.
Geprüfte Heft-URL und QR-Code fehlen.
Kein aktiver Link im Rohsatz."
"I020-STATUS",22,"I020","5315","REDAKTIONELLER ENTWURF · Angebot noch nicht bereitgestellt"
"C3-TITLE",23,"C3","5431","ANZEIGENOPTION"
"C3-OPTION",23,"C3","5477","Alternative: Eigenwerbung oder redaktionelle Vorschau."
"C3-OPEN",23,"C3","5454","C3 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen."
"C4-TITLE",24,"C4","5547","ANZEIGENOPTION"
"C4-OPTION",24,"C4","5593","Rückseite: Fremdwerbung als bisherige Planungsoption."
"C4-OPEN",24,"C4","5570","C4 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen."
